Country,Clicks,Impressions,CTR,Position
Australia,24,483,4.97%,12.98
United States,2,341,0.59%,7.65
Indonesia,2,10,20%,8.9
Pakistan,2,5,40%,13
Canada,1,31,3.23%,5.13
India,1,25,4%,10.6
Sweden,1,3,33.33%,2.33
Bulgaria,1,1,100%,1
Cambodia,1,1,100%,1
Poland,0,55,0%,63.25
United Kingdom,0,22,0%,7.45
Brazil,0,22,0%,14.68
Philippines,0,11,0%,8.18
Spain,0,11,0%,11.64
Vietnam,0,9,0%,19.22
Israel,0,8,0%,41.5
Bosnia & Herzegovina,0,6,0%,8.33
Colombia,0,6,0%,9.5
South Africa,0,5,0%,2.8
Germany,0,5,0%,3.4
Switzerland,0,5,0%,4.2
France,0,5,0%,6.8
Italy,0,5,0%,7
Malaysia,0,5,0%,20.2
Morocco,0,4,0%,6
Japan,0,4,0%,8.75
Oman,0,4,0%,19
Egypt,0,4,0%,22.5
Netherlands,0,3,0%,3.67
Chile,0,3,0%,6
China,0,3,0%,15
Portugal,0,3,0%,17.67
Bangladesh,0,3,0%,19.67
Mexico,0,2,0%,3.5
South Korea,0,2,0%,5.5
Estonia,0,2,0%,7.5
Singapore,0,2,0%,8.5
Hong Kong,0,2,0%,9
Lithuania,0,2,0%,10
Saudi Arabia,0,2,0%,27.5
United Arab Emirates,0,2,0%,53
Cyprus,0,1,0%,1
Algeria,0,1,0%,1
Ethiopia,0,1,0%,1
Argentina,0,1,0%,2
Brunei,0,1,0%,5
Paraguay,0,1,0%,5
Andorra,0,1,0%,6
Benin,0,1,0%,6
Kazakhstan,0,1,0%,7
Jamaica,0,1,0%,8
Puerto Rico,0,1,0%,8
Russia,0,1,0%,8
Romania,0,1,0%,9
Serbia,0,1,0%,9
Thailand,0,1,0%,10
Belgium,0,1,0%,11
Latvia,0,1,0%,11
Venezuela,0,1,0%,21
