Reason,Source,Validation,Pages
Not found (404),Website,Not Started,85
Page with redirect,Website,Not Started,32
Soft 404,Website,Not Started,16
Excluded by ‘noindex’ tag,Website,Not Started,7
Blocked due to access forbidden (403),Website,Not Started,2
Duplicate without user-selected canonical,Website,Not Started,1
Blocked by robots.txt,Website,Not Started,1
Alternative page with proper canonical tag,Website,Not Started,1
Crawled - currently not indexed,Google systems,Not Started,28
Discovered – currently not indexed,Google systems,Not Started,26
