Country,Clicks,Impressions,CTR,Position
Australia,52,1152,4.51%,44.89
Pakistan,3,11,27.27%,9.18
United States,2,586,0.34%,11.2
India,2,40,5%,15.65
Philippines,2,17,11.76%,9.24
Indonesia,2,13,15.38%,9.38
New Zealand,1,111,0.9%,77.4
Canada,1,71,1.41%,12.61
Bangladesh,1,8,12.5%,16.25
Hong Kong,1,4,25%,5
Poland,0,76,0%,58.3
United Kingdom,0,46,0%,33.59
Brazil,0,31,0%,17.9
France,0,15,0%,7.13
Spain,0,13,0%,13.69
Singapore,0,11,0%,19.36
Germany,0,10,0%,15.6
Mexico,0,9,0%,5
Italy,0,9,0%,12.78
Vietnam,0,9,0%,32.44
Ecuador,0,8,0%,5.88
Israel,0,8,0%,10.88
Malaysia,0,7,0%,16.57
China,0,6,0%,10.83
Portugal,0,6,0%,11.17
Netherlands,0,6,0%,18.33
Switzerland,0,5,0%,5.4
Chile,0,5,0%,6.8
Colombia,0,5,0%,11.2
Morocco,0,5,0%,18.6
United Arab Emirates,0,5,0%,35
Thailand,0,5,0%,38.6
Japan,0,4,0%,4.5
Bosnia & Herzegovina,0,4,0%,5.75
South Africa,0,4,0%,6
Ukraine,0,4,0%,6.5
Kenya,0,3,0%,5
South Korea,0,3,0%,6.33
Argentina,0,3,0%,7.33
Nigeria,0,3,0%,9
Denmark,0,3,0%,11.33
Russia,0,3,0%,14.33
Saudi Arabia,0,3,0%,18.67
Egypt,0,3,0%,19.33
Oman,0,3,0%,25
Algeria,0,3,0%,32
Sweden,0,2,0%,5
Iran,0,2,0%,6.5
Belgium,0,2,0%,7
Czechia,0,2,0%,7
Taiwan,0,2,0%,7
Uruguay,0,2,0%,7.5
Serbia,0,2,0%,8.5
Turkey,0,2,0%,8.5
Ireland,0,2,0%,9
Lithuania,0,2,0%,10
Romania,0,2,0%,10
Venezuela,0,2,0%,13.5
Austria,0,2,0%,27
Ghana,0,2,0%,27.5
Cyprus,0,1,0%,1
Gabon,0,1,0%,1
Senegal,0,1,0%,1
Uganda,0,1,0%,1
Croatia,0,1,0%,2
Benin,0,1,0%,4
Estonia,0,1,0%,4
Panama,0,1,0%,4
Brunei,0,1,0%,5
Congo - Kinshasa,0,1,0%,5
Andorra,0,1,0%,6
Costa Rica,0,1,0%,6
Guatemala,0,1,0%,6
Slovakia,0,1,0%,6
Uzbekistan,0,1,0%,7
Greece,0,1,0%,8
Jamaica,0,1,0%,8
Puerto Rico,0,1,0%,8
Mongolia,0,1,0%,9
Tunisia,0,1,0%,9
Kyrgyzstan,0,1,0%,11
Latvia,0,1,0%,11
Mauritius,0,1,0%,11
Peru,0,1,0%,20
Honduras,0,1,0%,31
Bahamas,0,1,0%,36
