Country,Clicks,Impressions,CTR,Position
Australia,49,822,5.96%,28.73
Pakistan,3,9,33.33%,10.89
United States,2,530,0.38%,10.76
Indonesia,2,12,16.67%,10.08
New Zealand,1,75,1.33%,75.11
Canada,1,55,1.82%,11.85
India,1,32,3.12%,16.22
Philippines,1,15,6.67%,8.4
Poland,0,74,0%,59.61
United Kingdom,0,42,0%,27.38
Brazil,0,27,0%,19.26
France,0,15,0%,7.13
Spain,0,11,0%,12
Vietnam,0,9,0%,36.89
Mexico,0,8,0%,4.62
Singapore,0,8,0%,7.62
Israel,0,8,0%,10.88
Ecuador,0,7,0%,5.43
Italy,0,7,0%,6.43
Germany,0,7,0%,20.14
South Africa,0,6,0%,4.33
Switzerland,0,6,0%,4.67
Colombia,0,6,0%,9.5
Portugal,0,6,0%,11.17
Netherlands,0,5,0%,3.8
Morocco,0,5,0%,16.4
Malaysia,0,5,0%,21.4
United Arab Emirates,0,5,0%,35
Bosnia & Herzegovina,0,4,0%,5.75
Thailand,0,4,0%,31
Japan,0,3,0%,5.67
Chile,0,3,0%,6
South Korea,0,3,0%,6.33
Nigeria,0,3,0%,9
Denmark,0,3,0%,11.33
China,0,3,0%,17.33
Egypt,0,3,0%,19.33
Bangladesh,0,3,0%,19.67
Oman,0,3,0%,25
Algeria,0,2,0%,1.5
Russia,0,2,0%,4.5
Ukraine,0,2,0%,6
Czechia,0,2,0%,7
Taiwan,0,2,0%,7
Serbia,0,2,0%,8.5
Turkey,0,2,0%,8.5
Hong Kong,0,2,0%,9
Lithuania,0,2,0%,10
Romania,0,2,0%,10
Venezuela,0,2,0%,13.5
Saudi Arabia,0,2,0%,27.5
Cyprus,0,1,0%,1
Ethiopia,0,1,0%,1
Senegal,0,1,0%,1
Uganda,0,1,0%,1
Croatia,0,1,0%,2
Belgium,0,1,0%,4
Estonia,0,1,0%,4
Brunei,0,1,0%,5
Congo - Kinshasa,0,1,0%,5
Paraguay,0,1,0%,5
Andorra,0,1,0%,6
Costa Rica,0,1,0%,6
Guatemala,0,1,0%,6
Kenya,0,1,0%,6
Slovakia,0,1,0%,6
Sweden,0,1,0%,7
Uzbekistan,0,1,0%,7
Argentina,0,1,0%,8
Greece,0,1,0%,8
Jamaica,0,1,0%,8
Puerto Rico,0,1,0%,8
Ghana,0,1,0%,9
Iran,0,1,0%,9
Mongolia,0,1,0%,9
Tunisia,0,1,0%,9
Uruguay,0,1,0%,10
Kyrgyzstan,0,1,0%,11
Latvia,0,1,0%,11
Ireland,0,1,0%,12
Peru,0,1,0%,20
Austria,0,1,0%,25
Honduras,0,1,0%,31
